"estado","candidato","votos","ano","turno","nome","porcentagem"
"Minas Gerais","Luiz Inácio Lula da Silva",3355121,1989,"Turno 2","1989 - Luiz Inácio Lula da Silva",44.49
"Espírito Santo","Luiz Inácio Lula da Silva",473597,1989,"Turno 2","1989 - Luiz Inácio Lula da Silva",40.7
"Rio de Janeiro","Luiz Inácio Lula da Silva",5228265,1989,"Turno 2","1989 - Luiz Inácio Lula da Silva",72.92
"São Paulo","Luiz Inácio Lula da Silva",6739378,1989,"Turno 2","1989 - Luiz Inácio Lula da Silva",42.1
"Paraná","Luiz Inácio Lula da Silva",1357994,1989,"Turno 2","1989 - Luiz Inácio Lula da Silva",32.71
"Santa Catarina","Luiz Inácio Lula da Silva",1152730,1989,"Turno 2","1989 - Luiz Inácio Lula da Silva",49.68
"R. G. do Sul","Luiz Inácio Lula da Silva",3366802,1989,"Turno 2","1989 - Luiz Inácio Lula da Silva",68.72
"M. G. do Sul","Luiz Inácio Lula da Silva",215859,1989,"Turno 2","1989 - Luiz Inácio Lula da Silva",27.15
"Mato Grosso","Luiz Inácio Lula da Silva",240486,1989,"Turno 2","1989 - Luiz Inácio Lula da Silva",33.61
"Goiás","Luiz Inácio Lula da Silva",535142,1989,"Turno 2","1989 - Luiz Inácio Lula da Silva",31.56
"Distrito Federal","Luiz Inácio Lula da Silva",451780,1989,"Turno 2","1989 - Luiz Inácio Lula da Silva",62.68
"Acre","José Serra",50250,2002,"Turno 1","2002 - José Serra",18.97
"Amazonas","José Serra",166145,2002,"Turno 1","2002 - José Serra",14.95
"Roraima","José Serra",19195,2002,"Turno 1","2002 - José Serra",12
"Pará","José Serra",673488,2002,"Turno 1","2002 - José Serra",26.6
"Amapá","José Serra",20537,2002,"Turno 1","2002 - José Serra",8.8
"Tocantins","José Serra",177547,2002,"Turno 1","2002 - José Serra",33.97
"Maranhão","José Serra",248621,2002,"Turno 1","2002 - José Serra",12.05
"Piauí","José Serra",358229,2002,"Turno 1","2002 - José Serra",27.27
"Ceará","José Serra",293425,2002,"Turno 1","2002 - José Serra",8.53
"R. G. do Norte","José Serra",296856,2002,"Turno 1","2002 - José Serra",22.3
"Paraíba","José Serra",466346,2002,"Turno 1","2002 - José Serra",29.53
"Pernambuco","José Serra",1015496,2002,"Turno 1","2002 - José Serra",28.45
"Alagoas","José Serra",314739,2002,"Turno 1","2002 - José Serra",29.25
"Sergipe","José Serra",160348,2002,"Turno 1","2002 - José Serra",19.85
"Bahia","José Serra",884291,2002,"Turno 1","2002 - José Serra",16.86
"Minas Gerais","José Serra",2151597,2002,"Turno 1","2002 - José Serra",22.86
"Espírito Santo","José Serra",334697,2002,"Turno 1","2002 - José Serra",20.76
"Rio de Janeiro","José Serra",721081,2002,"Turno 1","2002 - José Serra",8.82
"São Paulo","José Serra",5633365,2002,"Turno 1","2002 - José Serra",28.52
"Paraná","José Serra",1367384,2002,"Turno 1","2002 - José Serra",26.98
"Goiás","José Serra",709025,2002,"Turno 1","2002 - José Serra",27.91
"Distrito Federal","José Serra",202410,2002,"Turno 1","2002 - José Serra",16.75
"Acre","José Serra",93803,2002,"Turno 2","2002 - José Serra",40.06
"Amazonas","José Serra",311175,2002,"Turno 2","2002 - José Serra",30.12
"Roraima","José Serra",54692,2002,"Turno 2","2002 - José Serra",34.45
"Pará","José Serra",1184624,2002,"Turno 2","2002 - José Serra",47.35
"Amapá","José Serra",55723,2002,"Turno 2","2002 - José Serra",24.49
"Tocantins","José Serra",245349,2002,"Turno 2","2002 - José Serra",45.97
"Maranhão","José Serra",872880,2002,"Turno 2","2002 - José Serra",41.52
"Piauí","José Serra",532715,2002,"Turno 2","2002 - José Serra",39.25
"Ceará","José Serra",981609,2002,"Turno 2","2002 - José Serra",28.22
"R. G. do Norte","José Serra",551628,2002,"Turno 2","2002 - José Serra",41.36
"Paraíba","José Serra",742486,2002,"Turno 2","2002 - José Serra",42.98
"Pernambuco","José Serra",1654132,2002,"Turno 2","2002 - José Serra",42.93
"Alagoas","José Serra",616902,2002,"Turno 2","2002 - José Serra",56.39
"Sergipe","José Serra",362923,2002,"Turno 2","2002 - José Serra",42.5
"Bahia","José Serra",1937780,2002,"Turno 2","2002 - José Serra",34.31
"Minas Gerais","José Serra",3223960,2002,"Turno 2","2002 - José Serra",33.55
"Espírito Santo","José Serra",646494,2002,"Turno 2","2002 - José Serra",40.64
"Rio de Janeiro","José Serra",1682472,2002,"Turno 2","2002 - José Serra",21.03
"São Paulo","José Serra",9073187,2002,"Turno 2","2002 - José Serra",44.61
"Paraná","José Serra",2017198,2002,"Turno 2","2002 - José Serra",40.78
"Goiás","José Serra",1071070,2002,"Turno 2","2002 - José Serra",42.92
"Distrito Federal","José Serra",471485,2002,"Turno 2","2002 - José Serra",37.74
"Rondônia","Luiz Inácio Lula da Silva",283279,2002,"Turno 1","2002 - Luiz Inácio Lula da Silva",56.55
"Acre","Luiz Inácio Lula da Silva",123999,2002,"Turno 1","2002 - Luiz Inácio Lula da Silva",46.81
"Amazonas","Luiz Inácio Lula da Silva",530246,2002,"Turno 1","2002 - Luiz Inácio Lula da Silva",47.73
"Roraima","Luiz Inácio Lula da Silva",71952,2002,"Turno 1","2002 - Luiz Inácio Lula da Silva",44.97
"Pará","Luiz Inácio Lula da Silva",1070416,2002,"Turno 1","2002 - Luiz Inácio Lula da Silva",42.27
"Amapá","Luiz Inácio Lula da Silva",116507,2002,"Turno 1","2002 - Luiz Inácio Lula da Silva",49.94
"Tocantins","Luiz Inácio Lula da Silva",225291,2002,"Turno 1","2002 - Luiz Inácio Lula da Silva",43.1
"Maranhão","Luiz Inácio Lula da Silva",843132,2002,"Turno 1","2002 - Luiz Inácio Lula da Silva",40.88
"Piauí","Luiz Inácio Lula da Silva",615576,2002,"Turno 1","2002 - Luiz Inácio Lula da Silva",46.86
"Ceará","Luiz Inácio Lula da Silva",1353339,2002,"Turno 1","2002 - Luiz Inácio Lula da Silva",39.36
"R. G. do Norte","Luiz Inácio Lula da Silva",581544,2002,"Turno 1","2002 - Luiz Inácio Lula da Silva",43.68
"Paraíba","Luiz Inácio Lula da Silva",754329,2002,"Turno 1","2002 - Luiz Inácio Lula da Silva",47.77
"Pernambuco","Luiz Inácio Lula da Silva",1657476,2002,"Turno 1","2002 - Luiz Inácio Lula da Silva",46.44
"Alagoas","Luiz Inácio Lula da Silva",307751,2002,"Turno 1","2002 - Luiz Inácio Lula da Silva",28.6
"Sergipe","Luiz Inácio Lula da Silva",357557,2002,"Turno 1","2002 - Luiz Inácio Lula da Silva",44.27
"Bahia","Luiz Inácio Lula da Silva",2899280,2002,"Turno 1","2002 - Luiz Inácio Lula da Silva",55.28
"Minas Gerais","Luiz Inácio Lula da Silva",4990085,2002,"Turno 1","2002 - Luiz Inácio Lula da Silva",53.01
"Espírito Santo","Luiz Inácio Lula da Silva",717646,2002,"Turno 1","2002 - Luiz Inácio Lula da Silva",44.52
"Rio de Janeiro","Luiz Inácio Lula da Silva",3284258,2002,"Turno 1","2002 - Luiz Inácio Lula da Silva",40.17
"São Paulo","Luiz Inácio Lula da Silva",9106914,2002,"Turno 1","2002 - Luiz Inácio Lula da Silva",46.11
"Paraná","Luiz Inácio Lula da Silva",2540328,2002,"Turno 1","2002 - Luiz Inácio Lula da Silva",50.13
"Goiás","Luiz Inácio Lula da Silva",1069398,2002,"Turno 1","2002 - Luiz Inácio Lula da Silva",42.1
"Distrito Federal","Luiz Inácio Lula da Silva",592977,2002,"Turno 1","2002 - Luiz Inácio Lula da Silva",49.07
"Rondônia","Luiz Inácio Lula da Silva",334264,2002,"Turno 2","2002 - Luiz Inácio Lula da Silva",55.56
"Acre","Luiz Inácio Lula da Silva",140363,2002,"Turno 2","2002 - Luiz Inácio Lula da Silva",59.94
"Amazonas","Luiz Inácio Lula da Silva",722034,2002,"Turno 2","2002 - Luiz Inácio Lula da Silva",69.88
"Roraima","Luiz Inácio Lula da Silva",104087,2002,"Turno 2","2002 - Luiz Inácio Lula da Silva",65.55
"Pará","Luiz Inácio Lula da Silva",1317472,2002,"Turno 2","2002 - Luiz Inácio Lula da Silva",52.65
"Amapá","Luiz Inácio Lula da Silva",171850,2002,"Turno 2","2002 - Luiz Inácio Lula da Silva",75.51
"Tocantins","Luiz Inácio Lula da Silva",288405,2002,"Turno 2","2002 - Luiz Inácio Lula da Silva",54.03
"Maranhão","Luiz Inácio Lula da Silva",1229559,2002,"Turno 2","2002 - Luiz Inácio Lula da Silva",58.48
"Piauí","Luiz Inácio Lula da Silva",824412,2002,"Turno 2","2002 - Luiz Inácio Lula da Silva",60.75
"Ceará","Luiz Inácio Lula da Silva",2497143,2002,"Turno 2","2002 - Luiz Inácio Lula da Silva",71.78
"R. G. do Norte","Luiz Inácio Lula da Silva",781947,2002,"Turno 2","2002 - Luiz Inácio Lula da Silva",58.64
"Paraíba","Luiz Inácio Lula da Silva",984944,2002,"Turno 2","2002 - Luiz Inácio Lula da Silva",57.02
"Pernambuco","Luiz Inácio Lula da Silva",2198673,2002,"Turno 2","2002 - Luiz Inácio Lula da Silva",57.07
"Alagoas","Luiz Inácio Lula da Silva",477009,2002,"Turno 2","2002 - Luiz Inácio Lula da Silva",43.61
